source_image_key,x,y,canceled,sz_kind,cut_kind,porosity,pore_count,experience,image_hash
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,big,cropped,0.723205463015246,279,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,small,full,0.227484893004871,1518,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,small,cropped,0.725578769057030,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,big,full,0.213473630675167,92792,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,big,cropped,0.723195537478825,279,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,small,full,0.203979414259604,1510,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,small,cropped,0.725578769057030,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,big,full,0.191916639671779,81812,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,big,cropped,0.714339753317335,302,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,small,full,0.187590182858042,1509,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,small,cropped,0.723461321287408,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,big,full,0.162853298636594,56655,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,big,cropped,0.676777112154150,189,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,small,full,0.149144957193203,1257,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,small,cropped,0.667631281761717,6,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,big,full,0.174915497656242,65339,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,big,cropped,0.690696022727273,285,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,small,full,0.168897735918357,1366,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,small,cropped,0.695228684359119,10,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,17,False,big,full,0.174915497656242,65339,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,17,False,big,cropped,0.690696022727273,285,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,17,False,small,full,0.168897735918357,1366,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,17,False,small,cropped,0.695228684359119,10,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
72.53_jpeg_escal.jpg,23,3,False,big,full,0.272013461409641,325733,5,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,23,3,False,big,cropped,0.397126417255572,4815,5,3e44f15f36a028f346d70012f2fa0ae825126318dc3b315d53999d12ef2e8353
72.53_jpeg_escal.jpg,23,3,False,small,full,0.227763286424285,21122,5,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,23,3,False,small,cropped,0.327793740778132,242,5,16f999603032de87c85c9670a8f312c184eee6d9a14b60f201d74777e9aae426
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",12,24,False,big,full,0.088147014723359,117580,5,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",12,24,False,big,cropped,0.108787913082843,1798,5,a2540fd16baf759b57e81781c42529db967e1968269bae716e425605cb588150
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",12,24,False,small,full,0.055642009394385,2454,5,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",12,24,False,small,cropped,0.069035762788592,49,5,f031809b4d8406101a55d248b7e29cff5cfd701be5e01b25b00cca48bbcb778c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",11,26,False,big,full,0.000691515334192,7597,5,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",11,26,False,big,cropped,0.005532527916101,140,5,a2540fd16baf759b57e81781c42529db967e1968269bae716e425605cb588150
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",11,26,False,small,full,0.000096300128571,43,5,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",11,26,False,small,cropped,0.001810774105930,5,5,f031809b4d8406101a55d248b7e29cff5cfd701be5e01b25b00cca48bbcb778c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",28,3,False,big,full,0.309906941487336,66378,5,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",28,3,False,big,cropped,0.459272908178663,239,5,a2540fd16baf759b57e81781c42529db967e1968269bae716e425605cb588150
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",28,3,False,small,full,0.292935770887651,1543,5,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",28,3,False,small,cropped,0.456767768220914,8,5,f031809b4d8406101a55d248b7e29cff5cfd701be5e01b25b00cca48bbcb778c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,1,False,big,full,0.309947178422891,66378,5,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,1,False,big,cropped,0.459272908178663,239,5,a2540fd16baf759b57e81781c42529db967e1968269bae716e425605cb588150
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,1,False,small,full,0.293145787125492,1542,5,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,1,False,small,cropped,0.456767768220914,8,5,f031809b4d8406101a55d248b7e29cff5cfd701be5e01b25b00cca48bbcb778c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",15,0,False,big,full,0.310023956575467,66378,4,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",15,0,False,big,cropped,0.306392790225315,2293,4,5a340e475f5e3183cf554e20a6cf0135f9587d8311cfc3bf8999f7918caa40d0
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",15,0,False,small,full,0.293796325228073,1542,4,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",15,0,False,small,cropped,0.290201697343767,117,4,6a241434eeeada264eeac8458ae1759b04a20e58bf867fd4d3d58de7bc8a87d8
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,big,full,0.309114249858731,66381,4,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,big,cropped,0.306392790225315,2293,4,5a340e475f5e3183cf554e20a6cf0135f9587d8311cfc3bf8999f7918caa40d0
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,small,full,0.292728828058169,1543,4,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,small,cropped,0.290107225519989,116,4,6a241434eeeada264eeac8458ae1759b04a20e58bf867fd4d3d58de7bc8a87d8
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",21,4,False,big,full,0.309114249858731,66381,4,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
